# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	DOCULECT	TOKENS	CONCEPT	QLCID	COUNTERPART
27275	yurutí	b õ õ b ĩ ã w ĩ̵	ABEJA_BEE	huber1992/yurutí/ABEJA_BEE	bṍõbĩãwĩ̵
#
171	kamsá	m a n d o r i̵ ʃ a	ACHIOTE, BIJA_ACHIOTE	huber1992/kamsá/ACHIOTE, BIJA_ACHIOTE	mandorí̵ʃa
1819	epena Saija	kʰ ã i ʧ i	ACHIOTE, BIJA_ACHIOTE	huber1992/epena Saija/ACHIOTE, BIJA_ACHIOTE	kʰã́iʧi
2206	awa	p ĩ̵	ACHIOTE, BIJA_ACHIOTE	huber1992/awa/ACHIOTE, BIJA_ACHIOTE	pĩ̵
2592	epena basurudó	kʰ ã ʧ i	ACHIOTE, BIJA_ACHIOTE	huber1992/epena basurudó/ACHIOTE, BIJA_ACHIOTE	kʰãʧí
3092	bora	n e e p a p a	ACHIOTE, BIJA_ACHIOTE	huber1992/bora/ACHIOTE, BIJA_ACHIOTE	néépapa
3655	giacone	p i r i m a p a	ACHIOTE, BIJA_ACHIOTE	huber1992/giacone/ACHIOTE, BIJA_ACHIOTE	pirimapa
4267	bará	b ũ h ã	ACHIOTE, BIJA_ACHIOTE	huber1992/bará/ACHIOTE, BIJA_ACHIOTE	bũhã́
4706	guahibo	h o ts i	ACHIOTE, BIJA_ACHIOTE	huber1992/guahibo/ACHIOTE, BIJA_ACHIOTE	hótsi
5199	barasana	b ũ s ã	ACHIOTE, BIJA_ACHIOTE	huber1992/barasana/ACHIOTE, BIJA_ACHIOTE	bũsã́
5728	secoya	p õ s a	ACHIOTE, BIJA_ACHIOTE	huber1992/secoya/ACHIOTE, BIJA_ACHIOTE	põsa
6087	cha'palaachi	m u	ACHIOTE, BIJA_ACHIOTE	huber1992/cha'palaachi/ACHIOTE, BIJA_ACHIOTE	mu
6822	cuiba	h o ts i	ACHIOTE, BIJA_ACHIOTE	huber1992/cuiba/ACHIOTE, BIJA_ACHIOTE	hótsi
6823	cuiba	k a j a r i	ACHIOTE, BIJA_ACHIOTE	huber1992/cuiba/ACHIOTE, BIJA_ACHIOTE	kajári
7261	carijona	i h u s e	ACHIOTE, BIJA_ACHIOTE	huber1992/carijona/ACHIOTE, BIJA_ACHIOTE	ihuse
7637	macuna	b ũ s ã	ACHIOTE, BIJA_ACHIOTE	huber1992/macuna/ACHIOTE, BIJA_ACHIOTE	bũsã
8019	chimila	k r o o ɾ i w a ʔ	ACHIOTE, BIJA_ACHIOTE	huber1992/chimila/ACHIOTE, BIJA_ACHIOTE	króoɾiwaʔ
8440	guayabero	h o e s t	ACHIOTE, BIJA_ACHIOTE	huber1992/guayabero/ACHIOTE, BIJA_ACHIOTE	hoest
8856	embera chamí	kʰ ã ʧ i	ACHIOTE, BIJA_ACHIOTE	huber1992/embera chamí/ACHIOTE, BIJA_ACHIOTE	kʰã́ʧi
9628	curripaco	p i r i m a p a	ACHIOTE, BIJA_ACHIOTE	huber1992/curripaco/ACHIOTE, BIJA_ACHIOTE	pirimapa
10371	catío	kʰ ã ʤ i	ACHIOTE, BIJA_ACHIOTE	huber1992/catío/ACHIOTE, BIJA_ACHIOTE	kʰãʤí
10775	cubeo	b ũ h ã	ACHIOTE, BIJA_ACHIOTE	huber1992/cubeo/ACHIOTE, BIJA_ACHIOTE	bũhã́
11240	muinane	n o o b a b a	ACHIOTE, BIJA_ACHIOTE	huber1992/muinane/ACHIOTE, BIJA_ACHIOTE	nóobaba
12106	inga	m a n d u r	ACHIOTE, BIJA_ACHIOTE	huber1992/inga/ACHIOTE, BIJA_ACHIOTE	mandúr
12484	dí̵mi̵na	a ʃ o t e	ACHIOTE, BIJA_ACHIOTE	huber1992/dí̵mi̵na/ACHIOTE, BIJA_ACHIOTE	aʃote
12857	embera Darién	kʰ ã ʧ i	ACHIOTE, BIJA_ACHIOTE	huber1992/embera Darién/ACHIOTE, BIJA_ACHIOTE	kʰãʧí
13193	nukak	m ɛ̃ k ũ n d e	ACHIOTE, BIJA_ACHIOTE	huber1992/nukak/ACHIOTE, BIJA_ACHIOTE	mɛ̃kũn²de¹
13857	jitnu	h o ʧ i h a	ACHIOTE, BIJA_ACHIOTE	huber1992/jitnu/ACHIOTE, BIJA_ACHIOTE	hoʧiha
14224	koreguaje	p ũ s a	ACHIOTE, BIJA_ACHIOTE	huber1992/koreguaje/ACHIOTE, BIJA_ACHIOTE	pũsa
15075	kakua	b ẽ ʔ	ACHIOTE, BIJA_ACHIOTE	huber1992/kakua/ACHIOTE, BIJA_ACHIOTE	bẽʔ³
15528	witoto mi̵ni̵ca	n o n o k ɯ	ACHIOTE, BIJA_ACHIOTE	huber1992/witoto mi̵ni̵ca/ACHIOTE, BIJA_ACHIOTE	nonókɯ
16366	witoto ni̵pode	n o n o k ɯ	ACHIOTE, BIJA_ACHIOTE	huber1992/witoto ni̵pode/ACHIOTE, BIJA_ACHIOTE	nonókɯ
16826	miraña	n e e p a ʔ e	ACHIOTE, BIJA_ACHIOTE	huber1992/miraña/ACHIOTE, BIJA_ACHIOTE	néépaʔe
17239	piratapuyo	b a s i # s õ ʔ ã	ACHIOTE, BIJA_ACHIOTE	huber1992/piratapuyo/ACHIOTE, BIJA_ACHIOTE	basi sõʔã
17645	playero	h o ʧ i w a	ACHIOTE, BIJA_ACHIOTE	huber1992/playero/ACHIOTE, BIJA_ACHIOTE	hoʧíwa
18065	witoto murui	n o n o k ɯ	ACHIOTE, BIJA_ACHIOTE	huber1992/witoto murui/ACHIOTE, BIJA_ACHIOTE	nonokɯ
18526	ocaina	ɲ o n̥ õ õ j a	ACHIOTE, BIJA_ACHIOTE	huber1992/ocaina/ACHIOTE, BIJA_ACHIOTE	ɲon̥ṍṍja
18939	orejón	b o s a	ACHIOTE, BIJA_ACHIOTE	huber1992/orejón/ACHIOTE, BIJA_ACHIOTE	bosa
19275	piapoco	p i i r i	ACHIOTE, BIJA_ACHIOTE	huber1992/piapoco/ACHIOTE, BIJA_ACHIOTE	píiri
20039	resígaro	pʰ i i g i	ACHIOTE, BIJA_ACHIOTE	huber1992/resígaro/ACHIOTE, BIJA_ACHIOTE	pʰiigí
20403	sáliba	m u u ɲ u	ACHIOTE, BIJA_ACHIOTE	huber1992/sáliba/ACHIOTE, BIJA_ACHIOTE	muuɲù
20760	siona	b õ s a	ACHIOTE, BIJA_ACHIOTE	huber1992/siona/ACHIOTE, BIJA_ACHIOTE	bõsa
21120	siriano	b ũ s ã	ACHIOTE, BIJA_ACHIOTE	huber1992/siriano/ACHIOTE, BIJA_ACHIOTE	bũsã́
21880	tucano	b ũ s ã	ACHIOTE, BIJA_ACHIOTE	huber1992/tucano/ACHIOTE, BIJA_ACHIOTE	bũsã́
22278	embera Tadó	kʰ ã ʧ i	ACHIOTE, BIJA_ACHIOTE	huber1992/embera Tadó/ACHIOTE, BIJA_ACHIOTE	kʰã́ʧi
22661	tanimuca	b ũ h a	ACHIOTE, BIJA_ACHIOTE	huber1992/tanimuca/ACHIOTE, BIJA_ACHIOTE	bũha
23570	tsafiqui pila	m u	ACHIOTE, BIJA_ACHIOTE	huber1992/tsafiqui pila/ACHIOTE, BIJA_ACHIOTE	mu
24236	tuyuca	b ũ s ã	ACHIOTE, BIJA_ACHIOTE	huber1992/tuyuca/ACHIOTE, BIJA_ACHIOTE	bũsã́
24675	waimaja	b ũ h ã	ACHIOTE, BIJA_ACHIOTE	huber1992/waimaja/ACHIOTE, BIJA_ACHIOTE	bũhã́
25183	wounaan	h a r	ACHIOTE, BIJA_ACHIOTE	huber1992/wounaan/ACHIOTE, BIJA_ACHIOTE	har
25617	wanano	b ã s ĩ # s õ ʔ ã	ACHIOTE, BIJA_ACHIOTE	huber1992/wanano/ACHIOTE, BIJA_ACHIOTE	bãsĩ sõʔã
26582	yucuna	p i i r i	ACHIOTE, BIJA_ACHIOTE	huber1992/yucuna/ACHIOTE, BIJA_ACHIOTE	piirí
26953	yukpa	o n o t o	ACHIOTE, BIJA_ACHIOTE	huber1992/yukpa/ACHIOTE, BIJA_ACHIOTE	onóto
27306	yurutí	b ũ ũ s ã	ACHIOTE, BIJA_ACHIOTE	huber1992/yurutí/ACHIOTE, BIJA_ACHIOTE	bṹũsã
#
282	kamsá	x ts e x a x o n a n a	ACOSTARSE_LIE DOWN	huber1992/kamsá/ACOSTARSE_LIE DOWN	xtsexáxonana
