# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
12535	huber1992/dí̵mi̵na/BEBE_DRINK	BEBE_DRINK	anga uʃí	dí̵mi̵na	a n g a # u ʃ í
12907	huber1992/embera Darién/BEBE_DRINK	BEBE_DRINK	totúa	embera Darién	t o t ú a
13236	huber1992/nukak/BEBE_DRINK	BEBE_DRINK	ma⁴ bapa⁴	nukak	m a ⁴ # b a p a ⁴
13571	huber1992/jupda/BEBE_DRINK	BEBE_DRINK	əg	jupda	ə g
13904	huber1992/jitnu/BEBE_DRINK	BEBE_DRINK	apár	jitnu	a p á r
14285	huber1992/koreguaje/BEBE_DRINK	BEBE_DRINK	ũkʰuhĩ̵ʔi̵	koreguaje	ũ k ʰ u h ĩ̵ ʔ i̵
14700	huber1992/páez/BEBE_DRINK	BEBE_DRINK	mtudʲ	páez	m t u d ʲ
15146	huber1992/kakua/BEBE_DRINK	BEBE_DRINK	babʔ⁴a³	kakua	b a b ʔ ⁴ a ³
15147	huber1992/kakua/BEBE_DRINK	BEBE_DRINK	babʔ⁴a³ babʔbaá	kakua	b a b ʔ ⁴ a ³ # b a b ʔ b a á
15590	huber1992/witoto mi̵ni̵ca/BEBE_DRINK	BEBE_DRINK	híro	witoto mi̵ni̵ca	h í r o
16006	huber1992/kogui/BEBE_DRINK	BEBE_DRINK	túxa guwá	kogui	t ú x a # g u w á
16428	huber1992/witoto ni̵pode/BEBE_DRINK	BEBE_DRINK	híro	witoto ni̵pode	h í r o
16884	huber1992/miraña/BEBE_DRINK	BEBE_DRINK	tátoó	miraña	t á t o ó
17289	huber1992/piratapuyo/BEBE_DRINK	BEBE_DRINK	siʔdĩjã	piratapuyo	s i ʔ d ĩ j ã
17708	huber1992/playero/BEBE_DRINK	BEBE_DRINK	apéma	playero	a p é m a
17709	huber1992/playero/BEBE_DRINK	BEBE_DRINK	apáejaxuaré	playero	a p á e j a x u a r é
18126	huber1992/witoto murui/BEBE_DRINK	BEBE_DRINK	hiro	witoto murui	h i r o
18602	huber1992/ocaina/BEBE_DRINK	BEBE_DRINK	ɲóóxo	ocaina	ɲ ó ó x o
19332	huber1992/piapoco/BEBE_DRINK	BEBE_DRINK	pìira	piapoco	p ì i r a
19333	huber1992/piapoco/BEBE_DRINK	BEBE_DRINK	pìira piìra	piapoco	p ì i r a # p i ì r a
19733	huber1992/puinave/BEBE_DRINK	BEBE_DRINK	mãw wokap	puinave	m ã w # w o k a p
20088	huber1992/resígaro/BEBE_DRINK	BEBE_DRINK	piiʔdú	resígaro	p i i ʔ d ú
20802	huber1992/siona/BEBE_DRINK	BEBE_DRINK	ũkuhĩ̵ʔĩ̵	siona	ũ k u h ĩ̵ ʔ ĩ̵
21175	huber1992/siriano/BEBE_DRINK	BEBE_DRINK	iʔríka	siriano	i ʔ r í k a
21552	huber1992/tatuyo/BEBE_DRINK	BEBE_DRINK	étija	tatuyo	é t i j a
21934	huber1992/tucano/BEBE_DRINK	BEBE_DRINK	sĩʔrĩjã́	tucano	s ĩ ʔ r ĩ j ã́
22336	huber1992/embera Tadó/BEBE_DRINK	BEBE_DRINK	dósi	embera Tadó	d ó s i
22717	huber1992/tanimuca/BEBE_DRINK	BEBE_DRINK	bĩukube	tanimuca	b ĩ u k u b e
